10733,2,15,32,89,140,
10804,0,0,5,6,16,
10838,0,0,1,2,92,
10872,0,0,1,11,21,
11002,2,6,7,9,9,
11066,0,0,0,0,0,
11084,0,0,0,0,0,
11278,0,0,0,0,0,
11515,1,1,5,6,15,
11623,0,0,36,197,461,
11770,2,3,18,42,73,
11814,0,0,0,0,0,
11853,1,12,13,28,51,
11880,0,1,6,22,52,
12187,3,3,6,14,17,
12254,0,0,0,0,0,
12310,0,0,0,0,0,
12344,0,0,0,0,0,
12396,0,0,10,19,20,
12465,5,8,12,23,48,
12480,0,0,0,0,0,
12566,0,0,0,0,0,
12723,0,0,0,0,0,
12752,0,0,0,0,0,
12794,0,0,0,0,0,
12863,0,0,0,0,0,
13068,0,3,6,8,15,
13199,0,0,0,0,0,
13257,1,16,21,58,75,
13261,0,0,0,0,0,
13389,0,0,0,0,0,
13401,1,3,6,44,73,
13752,3,12,24,35,41,
13922,0,3,3,5,9,
14118,0,0,0,0,0,
14175,0,0,0,0,0,
14196,0,0,6,36,76,
14217,1,1,4,4,4,
14253,0,4,5,15,42,
14285,0,0,0,0,0,
14409,2,9,10,17,23,
14704,0,0,2,2,2,
14796,0,0,0,1,1,
14804,9,11,13,22,37,
14807,0,0,11,20,45,
14897,7,8,9,15,16,
14929,0,0,0,0,0,
15149,0,0,0,0,0,
15156,0,0,0,0,0,
15229,0,0,0,0,0,
15232,0,0,0,0,0,
15434,0,2,4,5,9,
15559,1,2,3,6,8,
15791,0,1,1,7,8,
15976,0,0,0,0,0,
15998,1,4,6,13,23,
16055,0,0,0,0,0,
16057,0,0,0,0,0,
16162,0,0,0,0,0,
16238,0,0,0,0,17,
16427,0,0,0,0,0,
16593,0,0,0,0,0,
16594,0,0,0,0,0,
16603,0,0,0,0,0,
16611,0,0,0,0,0,
16777,0,0,0,0,0,
16797,5,22,62,102,242,
16873,0,0,0,0,0,
16875,1,2,5,6,27,
16920,0,0,0,0,0,
16930,0,0,0,0,0,
16995,0,0,0,0,0,
17008,0,0,0,0,0,
17046,0,0,0,0,0,
17095,8,40,93,144,193,
17113,0,0,0,0,0,
17174,4,9,41,59,74,
17212,1,2,4,5,5,
17287,0,0,0,0,0,
17383,0,0,0,0,0,
17391,0,0,0,0,0,
17394,0,0,0,0,0,
17455,0,0,0,1,2,
17523,0,2,12,20,29,
17560,0,0,0,0,0,
17586,0,1,2,3,3,
17682,0,0,0,0,0,
17716,0,0,0,0,0,
17870,1,14,25,37,89,
17970,0,0,0,0,0,
18027,0,0,4,16,22,
18081,0,0,0,106,319,
18107,0,1,1,1,1,
18147,0,0,0,0,0,
18171,0,2,5,7,10,
18199,0,0,0,0,0,
18228,0,0,0,0,0,
18271,0,0,1,1,2,
18373,13,24,50,73,110,
18422,0,0,0,0,0,
18433,0,0,4,28,65,
18470,0,3,5,14,30,
18474,1,1,1,1,4,
18497,0,0,0,0,0,
18586,0,0,0,0,0,
18630,0,2,7,23,34,
18679,0,6,20,25,30,
18817,0,0,0,0,0,
18822,0,0,0,0,0,
18964,10,17,60,175,359,
19050,0,2,4,4,4,
19053,0,0,0,0,0,
19090,0,0,0,0,0,
19092,0,0,0,0,0,
19394,1,1,2,6,9,
19420,1,3,6,10,20,
19464,4,10,24,113,346,
19482,3,11,21,58,93,
19499,0,0,0,0,0,
19575,0,0,0,19,62,
19578,0,0,0,0,0,
19636,0,0,0,0,0,
19681,0,0,0,0,0,
19696,5,6,10,10,10,
19730,0,0,0,0,0,
19742,0,0,0,0,0,
19758,0,0,0,0,0,
