发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-08 14:55:33,heya,1000,5,321948,1,7410
2017-12-08 15:21:43,heya,1000,10,236197,1,7410
2017-12-10 11:13:38,heya,1000,5,60787,1,7410
2017-12-11 11:19:56,heya,1000,5,642135,1,7410
2017-12-11 11:24:15,heya,1000,10,81560,1,7410
2017-12-11 15:01:30,heya,1000,5,417864,1,7410
2017-12-12 10:12:32,heya,1000,5,7728,1,7410
2017-12-12 13:58:05,heya,1000,3,417864,1,7410
2017-12-13 16:35:13,heya,1000,5,87983,1,7410
2017-12-15 10:39:36,heya,1000,10,642135,1,7410
2017-12-16 15:40:46,heya,1000,5,352227,1,7410
2017-12-16 16:34:15,heya,1000,5,591912,1,7410
2017-12-18 16:36:29,heya,1000,10,27997,1,7410
2017-12-19 14:40:19,heya,1000,20,3311,1,7410
2017-12-01 10:27:30,heyingli,1000,2,225610,1,7246
2017-12-01 10:30:40,heyingli,1000,5,492852,1,7246
2017-12-01 10:30:55,heyingli,1000,5,772287,1,7246
2017-12-01 10:49:13,heyingli,1000,2,31198,1,7246
2017-12-01 10:49:24,heyingli,1000,2,58900,1,7246
2017-12-01 10:49:34,heyingli,1000,2,87182,1,7246
2017-12-01 10:49:48,heyingli,1000,2,122449,1,7246
2017-12-01 10:49:48,heyingli,1000,2,122449,1,7246
2017-12-01 10:50:04,heyingli,1000,5,148150,1,7246
2017-12-01 10:50:17,heyingli,1000,10,176843,1,7246
2017-12-01 10:50:29,heyingli,1000,5,235832,1,7246
2017-12-01 10:53:04,heyingli,1000,5,274495,1,7246
2017-12-01 10:53:16,heyingli,1000,2,409259,1,7246
2017-12-01 10:53:34,heyingli,1000,2,443907,1,7246
2017-12-01 10:53:46,heyingli,1000,3,545299,1,7246
2017-12-01 10:54:00,heyingli,1000,5,635391,1,7246
2017-12-01 10:54:13,heyingli,1000,5,839580,1,7246
2017-12-01 10:54:40,heyingli,1000,2,866810,1,7246
2017-12-01 10:54:51,heyingli,1000,2,882835,1,7246
2017-12-01 12:00:07,heyingli,1000,2,352909,1,7194
2017-12-01 19:15:47,heyingli,1000,5,748297,1,7194
2017-12-04 11:45:39,heyingli,1000,2,65527,1,7246
2017-12-04 11:46:20,heyingli,1000,3,122449,1,7246
2017-12-04 11:46:36,heyingli,1000,5,148150,1,7246
