"62","0","0","0","0","3&353.00","26&2961.00","6&688.30","10&1070.70","7&556.90","3&297.00","4&179.71","0","28&15120.00","1&89.00","10&892.90","9&1086.60","5&391.91","9&945.70","1&64.90","4&338.90","8&716.60","6&9507.60","11&1025.90"
"70","0","0","0","1&89.00","0","0","0","1&0.01","3&246.90","0","1&118.00","0","1&69.90","0","0","0","0","4&263.80","11&899.70","3&213.90","6&214.60","0","1530&176.28"
"76","0","2&0.02","7&1.18","18&0.43","6&1.10","14&152.12","7&44.03","18&30.24","1&0.01","0","0","10&0.20","18&40.25","0","3&0.04","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&49.01","0"
"83","0","1&10.00","0","14&1770.00","2&184.00","9&573.00","15&1385.70","10&923.90","10&1104.90","11&794.80","5&475.20","6&654.00","25&2821.50","6&587.80","28&2407.00","27&1895.30","82&6722.50","6&437.60","22&1972.10","28&2340.10","16&1667.40","22&1771.00","35&2791.90"
"158","0","0","0","0","0","0","11&1267.90","5&183.02","3&287.00","1&89.00","3&317.00","1&79.90","1&0.02","0","2&308.80","3&69.92","2&0.02","8&322.43","9&517.74","5&334.70","4&244.61","9&686.61","7&489.60"
"160","0","0","0","0","0","0","0","0","0","1&99.00","0","0","0","0","0","0","4&405.00","8&567.60","4&354.30","13&473.20","0","0","0"
"161","0","2&116.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3&179.70","3&221.70"
"165","0","0","0","0","0","12&0.14","77&278.85","126&6.66","181&53.48","154&1.87","262&21.69","210&12.94","260&49.81","105&32.89","8&0.08","2&10.02","1&0.01","2&0.02","7&0.07","0","1&0.01","0","0"
"237","0","20&1680.00","0","225&20170.00","17&2002.00","173&15658.00","346&29283.50","636&58331.10","1023&101903.80","720&60796.40","1373&131577.60","1552&151745.70","970&101959.50","1072&110752.70","2161&201019.40","2072&205653.60","2503&248057.70","2566&254238.10","2105&194913.90","2479&222628.60","2224&208189.60","2124&237750.10","3390&324400.40"
"248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10&933.40","8&626.50","2&238.00","0","3&302.90","34&2602.10","0","15&1986.30"
"261","0","0","0","0","0","0","9&721.00","44&5073.30","18&1964.50","8&630.70","4&395.00","19&1208.70","17&1814.80","9&762.50","62&5067.50","109&9678.70","49&4791.20","66&6354.40","32&3531.30","42&4205.90","32&2782.20","14&1339.60","46&3772.80"
"264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4&518.00","4&395.00","1&60.00","1&58.80","0","0","0"
"268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&438.30","11&820.30","2&139.80","3&243.80","0","0"
"273","0","0","0","0","0","1&46.00","5&316.00","12&1262.70","7&709.00","11&1049.60","13&930.10","18&1895.50","8&702.80","8&720.80","23&1625.50","31&3134.20","25&2336.60","15&1349.20","32&2813.40","30&1748.50","30&2502.80","27&2014.30","58&5039.40"
