248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10&933.40,8&626.50,2&238.00,0,3&302.90,34&2602.10
261,0,0,0,0,0,0,9&721.00,44&5073.30,18&1964.50,8&630.70,4&395.00,19&1208.70,17&1814.80,9&762.50,62&5067.50,109&9678.70,49&4791.20,66&6354.40,32&3531.30,42&4205.90,30&2612.40
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4&518.00,4&395.00,1&60.00,1&58.80,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5&438.30,11&820.30,2&139.80,3&243.80
273,0,0,0,0,0,1&46.00,5&316.00,12&1262.70,7&709.00,11&1049.60,13&930.10,18&1895.50,8&702.80,8&720.80,23&1625.50,31&3134.20,25&2336.60,15&1349.20,32&2813.40,30&1748.50,30&2502.80
282,0,0,0,0,0,0,0,0,0,0,0,0,0,9&1110.90,83&8024.90,27&2385.70,28&2809.20,3&464.70,21&2133.60,4&391.70,14&1498.20
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18&1255.40,43&3772.40,27&2052.40,29&2533.50,25&1859.70,10&808.10,12&693.70
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62&6042.30,56&6479.90,62&6646.10,76&7689.80,45&4522.60,81&6298.10,49&4003.60
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3&237.90,7&621.60,16&1515.30,0,4&410.70
316,0,0,0,0,0,0,0,0,0,0,0,205&19313.80,115&12098.20,100&10497.30,231&21883.90,162&15053.40,140&16714.20,96&8413.60,58&4524.40,124&10500.80,113&9779.80
320,0,0,0,0,0,0,0,85&8547.30,214&20989.20,156&12177.50,362&32335.40,469&42059.00,172&21734.90,92&8805.60,162&14535.60,148&13302.50,181&16348.40,144&14082.50,134&11794.70,179&15006.20,184&17138.10
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1&69.90,3&237.80,1&99.90,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5&517.40,15&1359.40,1&98.00,1&58.80,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3&180.90,0
349,0,0,0,0,0,0,0,10&837.90,4&385.00,0,0,0,0,0,15&1302.50,28&3065.40,15&1667.80,14&1550.60,15&1748.40,1&89.90,1&99.00
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1&69.90,13&1098.40,11&921.10
