"24090","0","0","0","0","0","0","0","0","38","81","213","238","75","78","129","158","279","284"
"24668","0","0","0","0","0","0","0","0","0","103","465","320","179","98","190","141","173","134"
"24740","0","0","0","0","0","0","0","0","0","0","0","0","0","24","570","545","666","761"
"25016","0","0","0","0","0","0","0","0","0","0","0","0","0","4","51","77","217","169"
"25635","0","0","0","0","0","0","14","95","90","40","141","209","149","153","336","239","171","176"
"25892","0","0","0","0","0","0","47","71","45","10","12","11","5","11","52","49","85","88"
"27731","0","0","0","0","0","0","0","0","13","44","21","24","18","4","35","36","84","115"
"27964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","62","64"
"27980","0","0","0","0","0","0","0","0","0","0","0","25","58","164","385","531","874","956"
"27997","0","0","0","0","0","0","0","2","3","0","50","369","265","345","576","508","602","661"
"28948","0","0","0","0","0","0","0","237","335","311","436","491","299","201","419","417","426","500"
"29656","0","0","0","0","0","0","0","22","30","15","56","51","49","84","206","278","242","170"
"31426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","201","135","99"
"31831","0","0","0","0","0","0","0","0","0","36","562","753","464","302","961","785","928","906"
"32251","0","0","0","0","0","0","0","0","48","189","337","210","78","40","84","113","86","120"
"33281","0","0","0","0","0","0","0","0","0","0","58","167","174","192","356","221","277","311"
"33439","0","0","0","0","0","0","0","0","0","0","25","234","47","54","147","74","104","83"
"33792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","9","63"
"35987","0","0","0","0","0","0","0","47","251","457","659","1042","792","555","973","862","1106","1168"
"36030","0","0","0","0","0","0","0","5","99","138","214","394","240","226","405","315","424","343"
"36037","0","0","0","0","0","0","0","6","267","354","527","800","468","257","462","537","698","608"
"36202","0","0","0","0","0","0","0","0","0","0","213","270","179","204","349","347","410","311"
"37073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","356"
"37433","0","0","0","0","0","0","0","1","6","65","93","166","73","89","459","257","291","186"
"37447","0","0","0","0","0","0","0","11","154","121","391","538","315","220","509","521","596","558"
"37480","0","0","0","0","0","0","0","0","0","21","8","7","2","31","176","109","102","178"
"37570","0","0","0","0","0","0","0","0","0","0","0","59","37","35","63","43","82","68"
"38617","0","0","0","0","0","0","0","0","54","86","353","818","331","264","760","741","1019","1138"
"38911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","43","109","67"
"39163","0","0","0","0","0","0","0","0","0","52","89","149","75","33","69","25","100","61"
"40805","0","0","0","0","0","0","0","0","108","137","86","96","51","35","331","328","271","255"
"40858","0","0","0","0","0","0","0","0","0","349","795","442","124","141","212","276","265","138"
"40866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","67"
"41290","0","0","0","0","0","0","0","0","0","0","69","81","62","124","267","237","233","207"
"42183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","209","149"
"42331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","356"
"42902","0","0","0","0","0","0","0","0","0","0","0","0","67","128","291","149","148","122"
