"21","0","8&554.00","1&89.00","24&994.28","10&1259.00","45&5400.00","32&2739.60","60&5943.40","60&8753.70","31&3170.10","25&2141.60","40&3121.30","34&3465.50","5&406.80","0","0","0","0","0"
"5828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143&12241.90","209&20342.10","192&19294.40","166&16048.60","155&15472.70"
"5857","0","0","0","0","0","0","0","0","0","0","0","0","1&76.00","0","0","0","0","0","0"
"6274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6275","0","0","0","0","0","0","0","0","0","0","0","0","0","9&889.90","10&1013.70","10&934.30","2&131.80","6&715.60","1&59.90"
"6283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26&2420.10","16&1564.00","2&129.80","7&535.30"
"6292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&407.60","11&876.50","12&1002.40"
"6344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15&1482.00","19&1843.30","5&326.70","17&1377.00"
"6382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&146.60","5&392.70"
"6612","0","0","0","0","0","2&258.00","0","0","0","0","0","0","0","0","0","0","0","9&989.10","2&144.00"
"6705","0","0","0","0","0","0","0","0","17&1039.60","35&3419.90","75&5677.20","35&2726.40","20&2066.90","18&2089.70","29&2976.90","54&4343.70","30&3229.00","54&5285.60","53&5117.30"
"6818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4&307.80","2&178.00","0","0"
"6914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11&1276.60","16&1554.10","19&1859.20","3&295.00"
"7155","0","0","0","0","1&138.00","3&285.00","3&181.00","10&680.80","11&928.90","3&486.80","0","0","0","0","0","0","0","0","0"
"7173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&172.00"
"7623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48&4385.10","242&24355.70","149&13980.00","140&11629.90"
"7858","0","0","0","0","0","3&297.00","0","0","0","0","0","0","0","0","1&59.00","1&99.90","0","0","2&172.40"
"7901","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30&2552.20"
"8050","0","0","0","0","33&3285.00","9&897.00","15&1145.00","43&3208.90","151&14438.10","84&6973.00","175&13583.40","201&15844.50","55&5197.80","33&3372.20","69&6010.40","80&7198.70","94&9263.10","49&4394.20","60&4835.30"
"8128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&75.80"
"8249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6&418.40"
"8574","0","0","0","0","0","0","6&794.00","0","0","0","0","0","0","0","0","0","0","0","0"
"8621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&145.00","1&65.00"
